[2025-11-11 16:52:27] DEBUG    Attempt 1/5 for fetchData
[2025-11-11 16:52:28] WARNING  fetchData failed {"attempt":1,"maxAttempts":5,"error":"Connection refused","nextRetryIn":"500ms"}
[2025-11-11 16:52:28] DEBUG    Attempt 2/5 for fetchData
[2025-11-11 16:52:29] SUCCESS  fetchData succeeded after 2 attempts
[2025-11-11 16:52:29] SUCCESS  Operation completed {"result":"Result from call 2"}
[2025-11-11 16:52:33] ERROR    Call 1 failed {"error":"Request timeout","circuitState":"closed"}
[2025-11-11 16:52:34] ERROR    Call 2 failed {"error":"Request timeout","circuitState":"closed"}
[2025-11-11 16:52:42] INFO     Call 3 succeeded {"circuitState":"closed"}
[2025-11-11 16:52:47] INFO     Call 4 succeeded {"circuitState":"closed"}
[2025-11-11 16:52:50] ERROR    Circuit breaker opened for fetchData {"failures":3,"threshold":3}
[2025-11-11 16:52:50] ERROR    Call 5 failed {"error":"Connection refused","circuitState":"open"}
[2025-11-11 16:52:51] ERROR    Call 6 failed {"error":"Circuit breaker is open for fetchData","circuitState":"open"}
[2025-11-11 16:52:53] ERROR    Call 7 failed {"error":"Circuit breaker is open for fetchData","circuitState":"open"}
[2025-11-11 16:52:53] ERROR    Call 8 failed {"error":"Circuit breaker is open for fetchData","circuitState":"open"}
[2025-11-11 16:52:55] ERROR    Call 9 failed {"error":"Circuit breaker is open for fetchData","circuitState":"open"}
[2025-11-11 16:52:58] INFO     Circuit breaker entering half-open state for fetchData
[2025-11-11 16:52:59] ERROR    Circuit breaker opened for fetchData {"failures":4,"threshold":3}
[2025-11-11 16:52:59] ERROR    Call 10 failed {"error":"Request timeout","circuitState":"open"}
[2025-11-11 16:53:00] INFO     Attempting primary data source...
[2025-11-11 16:53:01] WARNING  Primary source failed, trying cache... {"error":"Request timeout"}
[2025-11-11 16:53:02] SUCCESS  Cache hit
[2025-11-11 16:53:04] ERROR    Item 1 failed {"errorType":"TimeoutError","message":"Request timeout"}
[2025-11-11 16:53:07] ERROR    Item 4 failed {"errorType":"NetworkError","message":"Connection refused"}
[2025-11-11 16:53:07] ERROR    Item 5 failed {"errorType":"NetworkError","message":"Connection refused"}
[2025-11-11 16:53:11] ERROR    Item 8 failed {"errorType":"NetworkError","message":"Connection refused"}
[2025-11-11 16:53:15] ERROR    Item 12 failed {"errorType":"TimeoutError","message":"Request timeout"}
[2025-11-11 16:53:16] ERROR    Item 13 failed {"errorType":"NetworkError","message":"Connection refused"}
[2025-11-11 16:53:20] ERROR    Item 18 failed {"errorType":"TimeoutError","message":"Request timeout"}
[2025-11-11 16:53:21] ERROR    Item 19 failed {"errorType":"TimeoutError","message":"Request timeout"}
[2025-11-11 16:53:22] ERROR    Item 20 failed {"errorType":"TimeoutError","message":"Request timeout"}
